Monthly El Nino Sea Surface Temperature (degrees Celsius)
Year.Month    SST (!Uo!NC)
1925.541667   0.71
1925.625000   0.65
1925.708333   0.32
1925.791667   0.54
1925.875000   0.78
1925.958333   1.22
1926.041667   1.02
1926.125000   1.11
1926.208333   1.04
1926.291667   0.98
1926.375000   0.79
1926.458333   0.35
1926.541667   0.15
1926.625000  -0.21
1926.708333  -0.40
1926.791667  -0.69
1926.875000  -0.32
1926.958333   0.00
1927.041667   0.19
1927.125000   0.25
1927.208333  -0.26
1927.291667  -0.92
1927.375000  -0.27
1927.458333  -0.17
1927.541667  -0.32
1927.625000   0.14
1927.708333   0.14
1927.791667   0.45
1927.875000   0.13
1927.958333   0.07
1928.041667  -0.17
1928.125000   0.13
1928.208333  -0.12
1928.291667  -0.11
1928.375000  -0.30
1928.458333  -0.43
1928.541667   0.05
1928.625000   0.10
1928.708333  -0.13
1928.791667   0.30
1928.875000  -0.21
1928.958333  -0.01
1929.041667  -0.52
1929.125000  -0.23
1929.208333  -0.10
1929.291667   0.35
1929.375000  -0.06
1929.458333   0.06
1929.541667  -0.04
1929.625000   0.20
1929.708333   0.49
1929.791667   0.17
1929.875000   0.48
1929.958333   0.07
1930.041667  -0.14
1930.125000   0.22
1930.208333   0.09
1930.291667   0.31
1930.375000   0.23
1930.458333  -0.18
1930.541667   1.03
1930.625000   0.94
1930.708333   1.18
1930.791667   1.25
1930.875000   1.76
1930.958333   1.52
1931.041667   1.53
1931.125000   1.08
1931.208333   1.15
1931.291667   0.62
1931.375000   0.04
1931.458333  -0.15
1931.541667   0.03
1931.625000   0.00
1931.708333  -0.73
1931.791667  -0.36
1931.875000  -0.81
1931.958333  -0.57
1932.041667  -0.23
1932.125000   0.04
1932.208333   0.42
1932.291667   0.53
1932.375000   0.22
1932.458333   0.49
1932.541667   0.38
1932.625000  -0.09
1932.708333   0.19
1932.791667   0.11
1932.875000   0.11
1932.958333  -0.16
1933.041667  -0.31
1933.125000  -0.10
1933.208333  -0.08
1933.291667   0.03
1933.375000  -0.65
1933.458333  -0.75
1933.541667  -0.60
1933.625000  -0.72
1933.708333  -0.81
1933.791667  -0.92
1933.875000  -1.33
1933.958333  -1.00
1934.041667  -0.63
1934.125000  -0.18
1934.208333  -0.74
1934.291667  -0.02
1934.375000   0.02
1934.458333   0.42
